,time,year,latitude,longitude,ID,Duration,Species,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion,PostCTAccretionRate
47,2016-09-14T00:00:00Z,2016,17.82805,-64.46711,3294,2.99,O. faveolata,17.8866,34.6644,11.6224,1.538976459,1.551135,39.011,36.328,10.8642,1.65556,-0.060545,-0.020275535,-0.818745,-0.274184372,1.4328,0.479821395
48,2015-06-01T00:00:00Z,2015,27.9074,-93.59925,4918,4.01,O. faveolata,11.8048,28.0015,11.6433,1.013870638,1.4430192,27.061,23.123,3.64172,1.426168,0,0,-8.00158,-1.997620527,1.63177,0.407376699
49,2015-06-01T00:00:00Z,2015,27.9074,-93.59925,4921,4.01,O. faveolata,16.0865,32.3202,10.9771,1.465459912,1.62668736,35.854,32.684,8.34054,1.633432,-0.0609999,-0.015228824,-2.6975599,-0.673454621,1.56664,0.391116782
50,2015-06-01T00:00:00Z,2015,27.9074,-93.59925,4922,4.01,O. faveolata,13.4232,29.7564,11.8289,1.134780073,1.48074624,25.633,20.701,1.58389,1.83308,0,0,-10.24501,-2.557700139,1.09282,0.272826075
51,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3711,3.69863,O. faveolata,11.7348,29.3477,11.17799545,1.049812558,1.051371377,31.6445,30.846,8.919241905,1.264162571,-0.185248375,-0.050085672,-2.07350517,-0.560614361,1.974097252,0.533737405
52,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3715,3.69863,O. faveolata,18.9108,35.8633,11.61807509,1.627705093,1.61871752,43.8947,43.079,11.37204266,1.66407801,-0.135123253,-0.036533324,-0.110909177,-0.029986555,4.357624054,1.178172429
53,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3724,3.69863,O. faveolata,13.8384,29.7804,10.86541843,1.273618691,1.265416922,28.9425,28.341,7.30805397,1.41183924,-0.077505112,-0.020955086,-3.479859348,-0.940850861,1.484647751,0.401404762
54,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3751,3.69863,O. faveolata,16.1065,33.0899,11.25835133,1.430626877,1.42419095,27.2344,26.537,6.20654583,1.60688906,-1.0043993,-0.271559811,-4.0474062,-1.094298713,0.219529152,0.059354178
55,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3777,3.69863,O. faveolata,15.3197,32.073,10.84233113,1.412952604,1.38734344,28.182,27.434,7.75028801,1.36980809,-0.664441109,-0.179645189,-2.427602011,-0.656351655,0.125853539,0.034027068
56,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3787,3.69863,O. faveolata,16.5996,33.6536,11.24166584,1.476613897,1.47376173,30.5286,29.821,7.743378639,1.61232498,-0.088002205,-0.023793189,-3.410284996,-0.922040017,0.607209206,0.164171378
57,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3582,3.69863,O. faveolata,14.8058,32.9419,10.90522671,1.357679248,1.37002068,35.5626,34.081,10.19841957,1.50055724,-0.047575951,-0.012863127,-0.659231189,-0.178236581,0.856058121,0.231452751
58,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3595,3.69863,O. faveolata,17.4654,34.2129,11.43727398,1.527059685,1.49940035,40.2925,38.649,10.95027924,1.58061862,-0.069728851,-0.018852615,-0.417265889,-0.112816333,2.715459824,0.734179878
59,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3598,3.69863,O. faveolata,17.3463,34.6678,11.9116087,1.456251665,1.48220849,38.2489,37.33,10.69249535,1.62288756,-0.236274719,-0.063881683,-0.982838631,-0.265730445,2.335976601,0.631578859
60,2016-04-27T00:00:00Z,2016,24.89748,-80.61796,3710,3.69863,O. faveolata,10.6162,27.4003,10.94223574,0.970203919,0.986286581,17.2407,,,,,,-1.0,-1.0,,
61,2018-07-11T00:00:00Z,2018,24.61123,-82.87045,1691,2.961644,O. faveolata,18.6429,34.1218,12.40681744,1.86429,1.50389412,37.1311,35.1145,11.75428104,1.58847374,-0.108395577,-0.036599802,-0.036599802,-0.183729325,0.579717636,0.195741848
62,2018-07-11T00:00:00Z,2018,24.61123,-82.87045,1692,2.961644,O. faveolata,12.8424,27.4023,10.97795105,1.28424,1.174109427,23.6904,20.9655,4.59897995,1.183569436,-1.429681778,-0.482732515,-0.482732515,-1.671129142,0.857405663,0.2895033
63,2018-07-11T00:00:00Z,2018,24.61123,-82.87045,1693,2.961644,O. faveolata,17.1793,32.6085,12.18533134,1.71793,1.41445862,36.9791,33.6922,11.73780155,1.49999766,-0.095967293,-0.032403387,-0.032403387,-0.118705191,0.49034214,0.165564182
64,2018-07-11T00:00:00Z,2018,24.61123,-82.87045,1694,2.961644,O. faveolata,15.0899,30.1793,11.89688015,1.50899,1.258085837,35.4799,28.5426,9.740538597,1.327038118,-0.501731873,-0.169409929,-0.169409929,-0.558679494,0.310063362,0.104692995
65,2018-07-11T00:00:00Z,2018,24.61123,-82.87045,1695,2.961644,O. faveolata,9.9111,25.1842,10.00590134,0.99111,0.992386277,24.5264,22.183,5.822813988,1.102712086,-0.002695084,-9.10E-04,-0.00091,-1.411510803,0.44869709,0.151502718
